orig,dest,wt
1,2,1.261404
1,3,21.9353
1,4,0.193461
1,5,12.3441
1,6,12.2967
1,7,0.389479
1,8,0.010475
1,9,10.5
1,10,180
1,11,22
1,12,15
1,13,72
1,14,75
1,15,116
1,16,0.048429
1,17,0.000664
1,18,3
1,19,6
10,20,1.3
11,20,0.13
12,20,7
14,20,1.8
21,20,0.2477485
22,20,0.002981023
23,20,0.01095201
17,20,1.02778E-07
24,20,0.000518828
25,20,0.004259183
26,20,5.50183E-06
27,20,0.00032027
28,20,8.6266E-07
29,20,2.85075E-06
30,20,1.39901E-06
31,20,0.000589438
32,20,2.71392E-07
33,20,5.44444E-05
34,20,4.40127E-05
35,20,0.000223572
36,20,0.000197275
37,20,0.000335675
38,20,0.000201311
39,20,1.01107E-07
40,20,0.005922525
41,20,0.000112024
42,20,8.61982E-07
43,20,0.003509126
44,20,0.000800555
45,20,0.000879863
46,20,1.97081E-05
47,20,1.28282E-07
48,20,6.16899E-05
49,20,1.46577E-05
50,20,0.004000669
51,20,3.0457E-06
52,20,3.8542E-08
53,20,0.007898174
54,20,1.90766E-05
55,20,1.62667E-08
56,57,93.61713
58,57,50.5165
59,57,5.629564
60,57,0.416118
61,57,2.012417
62,57,0.9496036
63,57,2.820862
16,57,0.5825159
64,57,1.808016
65,57,35.38025
66,57,4.11128
67,57,9.606857
68,57,0.2160327
69,57,0.01390549
70,57,0.01749315
71,57,0.7531382
72,57,0.80753
73,57,0.2280016
74,57,0.02755954
75,57,0.02888223
76,57,0.9818583
77,57,0.8569636
78,57,0.4491814
79,57,0.682153
80,57,0.05517269
81,57,0.134433
82,57,0.1569536
83,57,0.4443477
84,57,0.9909184
85,57,0.4765046
21,57,0.9172407
86,57,0.04179814
22,57,0.05627013
87,57,0.02420889
88,57,0.2414584
89,57,0.007417527
23,57,0.04086668
17,57,0.00190285
24,57,5.0929E-05
25,57,0.01656258
26,57,0.000920134
27,57,0.001248387
90,57,0.01172158
91,57,0.000280109
92,57,0.1376741
28,57,0.001419308
29,57,0.005374257
93,57,0.01251804
30,57,0.006575366
94,57,0.001490723
31,57,0.009174979
32,57,0.00627706
95,57,0.002307318
96,57,0.05909975
97,57,0.008984197
33,57,0.000186002
98,57,0.001470965
99,57,0.004340853
100,57,0.003516664
101,57,0.006688935
102,57,0.002437708
34,57,2.82407E-05
35,57,0.000318137
36,57,0.00047218
37,57,0.002163411
38,57,0.001438076
39,57,0.006293923
40,57,0.01267223
41,57,0.000492907
42,57,0.0357964
43,57,0.01522767
44,57,0.002803472
45,57,9.63272E-05
46,57,0.01755993
47,57,0.001085012
48,57,1.32978E-05
49,57,0.01541484
50,57,0.01087546
103,57,0.003972482
104,57,0.04602745
105,57,0.002306108
51,57,0.005347004
52,57,0.01759573
53,57,0.0446004
54,57,0.000310473
55,57,0.008327987
106,57,2.42637E-05
107,57,0.000449724
108,57,0.05937275
109,57,0.01047434
110,57,0.02257607
111,57,0.01450305
112,57,0.006869919
113,57,0.00822995
114,57,0.005195693
115,57,0.01056861
116,57,0.001044079
117,57,0.001226695
118,57,0.007384796
119,57,0.002260204
120,57,0.006878421
121,57,8.2394E-05
122,57,0.001491191
123,57,0.000672105
124,57,0.000331807
125,57,2.35947E-06
126,57,0.004324266
127,57,0.003529095
18,57,3.572388
128,57,317.0636
2,58,0.555688
2,59,0.04029807
2,60,0.01889703
2,61,0.09212516
2,62,0.04375207
2,63,0.1963723
2,64,0.08641115
2,68,0.008950015
2,71,0.003420006
2,72,0.0599401
2,78,0.03227706
2,95,4.70001E-05
2,97,0.000292001
2,98,1.19E-05
2,19,0.1229222
3,58,9.663189
3,59,0.7007607
3,60,0.3286118
3,61,1.602014
3,62,0.7608389
3,63,3.414843
3,64,1.502649
3,68,0.1533924
3,71,0.03842609
3,72,0.401662
3,73,0.1101683
3,76,0.3000637
3,78,0.2174795
3,79,0.0807962
3,80,0.006175016
3,81,0.01839004
3,21,0.1039583
3,87,0.004321011
3,98,0.000393001
3,42,0.007611019
3,47,0.000112
3,49,0.004809012
3,19,2.51464
4,60,0.003189014
4,61,0.01554807
4,62,0.007384032
4,64,0.01458406
4,71,6.19003E-05
4,98,2.51001E-06
4,42,9.73004E-06
4,47,8.56004E-07
4,49,6.15003E-06
4,19,0.1526747
5,58,5.437962
5,59,0.3943529
5,60,0.1849264
5,61,0.9015341
5,62,0.428162
5,63,1.921705
5,64,0.845616
5,68,0.08084419
5,69,0.001746004
5,72,0.2291795
5,78,0.1240743
5,19,1.793997
6,59,0.3928385
6,60,0.1842162
6,61,0.8980711
6,62,0.4265175
6,64,0.8423679
6,68,0.04453605
6,69,0.002646003
6,72,0.1291271
6,78,0.06989308
6,21,0.0913661
6,95,7.12001E-05
6,97,0.000443001
6,98,1.8E-05
6,19,9.214587
7,59,0.01244305
7,60,0.005835021
7,61,0.0284451
7,62,0.01350905
7,16,0.0278671
7,64,0.0266811
7,68,0.003394012
7,72,0.01474605
7,78,0.007958028
7,95,8.27003E-05
7,97,0.000514002
7,98,2.09001E-05
7,19,0.2479829
8,59,0.000334976
8,60,0.000156989
8,61,0.000764946
8,62,0.000362974
8,64,0.000717949
8,68,3.80973E-05
8,71,1.10992E-05
8,72,0.000116992
8,78,6.31955E-05
8,95,1.78987E-06
8,97,1.10992E-05
8,98,4.50968E-07
8,19,0.007894441
9,65,1.381068
9,66,0.1599195
9,67,0.3963813
9,71,0.006233769
9,73,0.09361342
9,76,0.2433837
9,77,0.01582881
9,79,0.2620186
9,80,0.03753441
9,81,0.1117772
9,82,0.1842236
9,84,0.2163368
9,21,0.01687383
9,87,0.02241853
9,98,0.00031859
9,55,1.35945E-05
9,128,7.352057
10,82,0.049499
10,83,0.304268
10,85,0.006749
10,21,0.233306
10,88,0.147517
10,31,0.006391
10,42,0.004261
10,55,0.001921
10,114,0.001772
10,115,0.001688
10,124,0.000958
10,127,0.002008
10,18,53.3819
10,128,71.17586
10,19,53.3819
11,82,0.005625
11,83,0.034576
11,85,0.000767
11,21,0.026512
11,88,0.016763
11,31,0.000726
11,42,0.000484
11,55,0.000218
11,114,0.000773
11,115,0.000737
11,127,0.000438
11,18,6.534715
11,128,8.712953
