Francisco Madero,Venustiano Carranza
Francisco Madero,Alvaro Obregon
Francisco Madero,Plutarco E. Calles
Francisco Madero,Candido Aguilar
Francisco Madero,Jacinto B. Trevino
Francisco Madero,Emilio Portes Gil
Venustiano Carranza,Alvaro Obregon
Venustiano Carranza,Plutarco E. Calles
Venustiano Carranza,Candido Aguilar
Venustiano Carranza,Jacinto B. Trevino
Venustiano Carranza,Emilio Portes Gil
Venustiano Carranza,Miguel Aleman Gonzalez
Venustiano Carranza,Adolfo Ruiz Cortines
Alvaro Obregon,Plutarco E. Calles
Alvaro Obregon,Emilio Portes Gil
Alvaro Obregon,Miguel Aleman Gonzalez
Alvaro Obregon,Lazaro Cardenas
Plutarco E. Calles,Emilio Portes Gil
Plutarco E. Calles,Lazaro Cardenas
Plutarco E. Calles,Ramon Beteta
Candido Aguilar,Miguel Aleman Gonzalez
Candido Aguilar,Heriberto Jara
Candido Aguilar,Lazaro Cardenas
Candido Aguilar,Miguel Aleman Valdes
Jacinto B. Trevino,Adolfo Ruiz Cortines
Emilio Portes Gil,Lazaro Cardenas
Emilio Portes Gil,Manuel Avila Camacho
Emilio Portes Gil,Andres Serra Rojas
Emilio Portes Gil,Antonio Carrillo Flores
Miguel Aleman Gonzalez,Heriberto Jara
Miguel Aleman Gonzalez,Miguel Aleman Valdes
Heriberto Jara,Lazaro Cardenas
Heriberto Jara,Manuel Avila Camacho
Heriberto Jara,Adolfo Ruiz Cortines
Lazaro Cardenas,Manuel Avila Camacho
Lazaro Cardenas,Miguel Aleman Valdes
Lazaro Cardenas,Ignacio Beteta
Lazaro Cardenas,Ramon Beteta
Lazaro Cardenas,Rodolfo Sanchez Taboada
Lazaro Cardenas,Raul Salinas Lozano
Manuel Avila Camacho,Miguel Aleman Valdes
Manuel Avila Camacho,Adolfo Ruiz Cortines
Manuel Avila Camacho,Andres Serra Rojas
Manuel Avila Camacho,Gustavo Diaz Ordaz
Miguel Aleman Valdes,Ramon Beteta
Miguel Aleman Valdes,Rodolfo Sanchez Taboada
Miguel Aleman Valdes,Angel Carvajal
Miguel Aleman Valdes,Adolfo Ruiz Cortines
Miguel Aleman Valdes,Adolfo Lopez Mateos
Miguel Aleman Valdes,Hugo B. Margain
Miguel Aleman Valdes,Andres Serra Rojas
Miguel Aleman Valdes,Antonio Carrillo Flores
Miguel Aleman Valdes,Antonio Ruiz Galindo
Miguel Aleman Valdes,Gustavo Diaz Ordaz
Miguel Aleman Valdes,Eduardo Bustamante
Miguel Aleman Valdes,Antonio Ortiz Mena
Miguel Aleman Valdes,Miguel Aleman Velasco
Ignacio Beteta,Ramon Beteta
Ignacio Beteta,Mario Ramon Beteta
Ramon Beteta,Mario Ramon Beteta
Ramon Beteta,Hugo B. Margain
Ramon Beteta,Miguel De la Madrid
Mario Ramon Beteta,Hugo B. Margain
Mario Ramon Beteta,Eduardo Bustamante
Mario Ramon Beteta,Jose Lopez Portillo
Mario Ramon Beteta,Miguel De la Madrid
Mario Ramon Beteta,Carlos Salinas de Gortari
